NodeID,MeasuredDisplacementMagnitude,UnitPressureDisplacementMagnitude,FittedDisplacementMagnitude
112,14.1599310698596,4.76003846988535,4.3652888941889
113,9.21579728756226,1.86447321366161,1.70985261245288
116,10.4389453146458,8.29371062936682,7.60591392927617
124,6.45189497557841,4.95788899466216,4.54673169217924
131,5.64347586057405,4.69593446152306,4.30650102565648
133,7.66268301652176,6.07712147852787,5.57314632364589
138,4.52749621838086,3.27096112916166,2.9997006076291
139,8.04208339942449,4.48078637614153,4.10919515225571
143,0.868521574341133,2.15563059507994,1.97686433759073
147,8.46379004151462,3.41378455923371,3.13067970308555
148,15.845874279727,9.37947771080538,8.60163844122403
149,31.5537567176395,17.6860785623267,16.2193736076542
150,8.21508541158532,20.4942767828235,18.7946881943262
155,0.783051054550723,13.0597411318485,11.9766979373201
158,0.516036598161409,11.227168637255,10.2961005200816
160,0.862216038411488,4.84068017914015,4.43924299351929
