NodeID,U1_True,U1_Predicted,U1_Error,U2_True,U2_Predicted,U2_Error,U3_True,U3_Predicted,U3_Error,DisplacementErrorNorm,RelativeError
112,1.46309,1.46309054163104,5.41631036465873e-07,2.367635,2.36763635231542,1.35231541653624e-06,13.883707,13.8837055260909,-1.47390909255307e-06,2.07232458330622e-06,1.46351318596269e-07
113,0.03584,0.0358335263152797,-6.47368472029425e-06,2.491904,2.49190496061293,9.60612930089866e-07,8.872432,8.87243216274865,1.62748648335764e-07,6.54659134067204e-06,7.1036624791079e-07
116,2.959224,2.95924954360561,2.55436056106895e-05,-0.629833,-0.629846253323923,-1.32533239233235e-05,9.99089,9.99088646706791,-3.5329320926536e-06,2.89932404498408e-05,2.77741089506078e-06
124,2.257718,2.25771372322861,-4.27677139436256e-06,-1.780323,-1.78032172638077,1.27361922896974e-06,5.775821,5.77582531870359,4.31870359296482e-06,6.20999840772335e-06,9.62507671192621e-07
131,2.033559,2.03355870095401,-2.99045991525304e-07,-1.246151,-1.24615015309344,8.4690655599573e-07,-5.11474,-5.11474015255678,-1.5255678142978e-07,9.11017448348886e-07,1.61428430076818e-07
133,2.171199,2.17120291814244,3.91814244249389e-06,-0.548781,-0.548785249365891,-4.24936589082936e-06,-7.328127,-7.32812801770914,-1.01770913563115e-06,5.86895923981101e-06,7.65914396714148e-07
138,0.017698,0.017704164113554,6.16411355403718e-06,0.830875,0.830871247551011,-3.75244898920268e-06,-4.450568,-4.45057085589272,-2.85589271697972e-06,7.76101105105069e-06,1.71419492732922e-06
139,0.756621,0.756619803089116,-1.19691088373841e-06,0.466033,0.466036440054541,3.44005454122609e-06,-7.992837,-7.99283565227203,1.34772797277805e-06,3.88367629943976e-06,4.82919177351193e-07
143,0.044246,0.0442426915790918,-3.30842090821154e-06,-0.434256,-0.434255573403396,4.26596603764207e-07,-0.750862,-0.750862427419183,-4.27419182824629e-07,3.36308202785494e-06,3.87219169587837e-06
147,-3.900079,-3.90007046160086,8.53839914327637e-06,-7.44504,-7.44505345000578,-1.34500057846765e-05,-0.998251,-0.998244551811403,6.44818859663054e-06,1.71867987628717e-05,2.03062678523109e-06
148,-6.554801,-6.55482785933935,-2.68593393508709e-05,-14.338407,-14.338388827051,1.81729490424942e-05,-1.592608,-1.59260817074688,-1.70746877303785e-07,3.24300684822349e-05,2.04659382686921e-06
149,-11.507624,-11.5076125954955,1.14045045460642e-05,-29.300049,-29.3000581293827,-9.12938274311159e-06,-2.172851,-2.17284788477644,3.11522356133409e-06,1.49369665946107e-05,4.73381560499275e-07
150,-2.804745,-2.80475351421508,-8.51421507963579e-06,-7.631829,-7.63182573805268,3.26194731758989e-06,-1.173124,-1.17313047213478,-6.47213478033315e-06,1.11812650151862e-05,1.36106497437237e-06
155,-0.028248,-0.0282591489223501,-1.11489223501085e-05,-0.15726,-0.157259237520457,7.62479543253702e-07,0.766577,0.766577139100941,1.3910094087688e-07,1.11758307831849e-05,1.42721610784331e-05
158,-0.02872,-0.0287223289079183,-2.32890791830587e-06,-0.150949,-0.150950059972437,-1.05997243718403e-06,-0.492629,-0.492628674259929,3.2574007091668e-07,2.57943021873793e-06,4.99854124286573e-06
160,-0.019218,-0.0192130636847247,4.93631527529598e-06,-0.382009,-0.382009091459312,-9.14593116796425e-08,0.772733,0.772732705152804,-2.94847195658754e-07,4.94595877172476e-06,5.73633353055807e-06
