NodeID,U1_Measured,U1_Predicted,U1_Residual,U2_Measured,U2_Predicted,U2_Residual,U3_Measured,U3_Predicted,U3_Residual
8,-0.040012,-0.00760592834846239,-0.0324060716515376,0.03712,0.0264199364004596,0.0107000635995404,-0.007053,-0.0213117409719304,0.0142587409719304
9,-0.000876,-0.001869120018005,0.000993120018004998,0.00158,0.00382329581809003,-0.00224329581809003,0.002421,0.00441561242348829,-0.00199461242348829
10,-0.000564,-0.000220739866210471,-0.000343260133789529,0.000332,0.00093511871086624,-0.00060311871086624,-0.000744,-0.000624451470607913,-0.000119548529392087
11,-0.001132,0.000117855473373422,-0.00124985547337342,0.000686,0.00202823911530714,-0.00134223911530714,0.005369,0.00557304201132909,-0.000204042011329088
12,-0.002229,-0.00167375830834559,-0.000555241691654414,0.00346,0.00403808433520723,-0.000578084335207227,0.006713,0.00202063798974593,0.00469236201025407
13,-0.000442,0.000202176221182832,-0.000644176221182832,0.000382,0.000739375806798025,-0.000357375806798025,0.000556,0.00169633432356256,-0.00114033432356256
14,-0.001594,-0.00105203183787257,-0.000541968162127426,0.005289,0.00543997988724386,-0.000150979887243864,0.010918,0.00176264406376278,0.00915535593623723
15,-0.019086,-0.00849460085554015,-0.0105913991444599,0.022694,0.0118085254981104,0.0108854745018896,-0.002868,0.00739293483789931,-0.0102609348378993
16,-0.004906,-0.00425330479502181,-0.000652695204978188,0.01071,0.0092753126931869,0.0014346873068131,-0.001167,0.000241608836064808,-0.00140860883606481
17,-0.001439,-0.00154991955923982,0.000110919559239819,0.004421,0.00574990620359416,-0.00132890620359416,-0.000592,-0.00149435483485733,0.000902354834857326
18,-0.000407,-8.69124738520398e-05,-0.00032008752614796,0.007984,0.00579573613410958,0.00218826386589042,-0.010478,-0.0111985496693646,0.000720549669364617
19,-0.000542,-5.24707086431275e-05,-0.000489529291356872,0.005315,0.000365041591808845,0.00494995840819116,-0.010405,-0.00627476276605611,-0.00413023723394389
20,-0.001429,-4.26512190109799e-38,-0.001429,0.003231,1.34092608309917e-37,0.003231,-0.007073,-5.06740297011869e-38,-0.007073
21,-0.000625,-2.02726052993429e-38,-0.000625,0.001688,6.93620669982679e-38,0.001688,-0.002878,-2.26783049689891e-38,-0.002878
22,-0.000784,2.93150805290682e-39,-0.000784,0.000646,2.71407167612333e-38,0.000646,-0.005547,-1.81631916403384e-38,-0.005547
