NodeID,X,Y,Z,F1,F2,F3,ForceMagnitude
6,15.133863449097,3.343611240387,-5.626212120056,-0.052531693727199,-0.0176552962355431,-0.0406242108757798,0.0687140075988356
7,25.003364562988,-1.230951428413,7.7517795562744,-0.0456383280049916,-0.0228725243239238,-0.191126615957836,0.197826673326763
8,26.940952301025,-4.838453769684,-0.034528825432,-1.28463076153872,1.30093861447224,0.9072807549028,2.04104773102775
9,17.259670257568,0.7399870157242,9.4242525100708,-0.437206268272281,0.346461479527949,0.543588324858004,0.778892254894861
10,12.267654418945,-0.232862576842,9.7254734039307,-0.043611750237734,-0.00706028200972329,-0.00872721210232535,0.0450332829353389
11,14.078733444214,-7.869932174683,7.7100200653076,-0.21841975843895,0.208765748668774,0.240327751280586,0.386067036574409
12,17.960153579712,-6.949436664581,7.4145927429199,-0.0303822104864281,-0.0222505185535706,0.464379908317986,0.46590435020438
13,12.267654418945,-0.23286318779,-9.794531822205,-0.0568957527820697,-0.0452478838261552,0.263334378728682,0.273183990555458
14,22.70202255249,-3.139817476273,8.0058212280273,-0.0595648695532844,0.00874239777893237,0.551497913866245,0.554774145218254
15,24.138666152954,-6.938746929169,-0.034529488534,-0.658698493000256,1.21390143396596,-0.668040496704573,1.53418333366737
16,18.429252624512,-9.959434509277,-0.03452930972,-0.330452348674766,0.757161464456269,-0.583642541616081,1.01149931012646
17,14.611784934998,-11.15670871735,-0.034529279917,-0.103301712976731,0.318034755739247,-0.330508320274808,0.470162843632846
18,25.003364562988,-1.230951547623,-7.820838451386,-0.0811512767587554,0.310818333602221,0.0585183527049461,0.326524063165547
19,22.70202255249,-3.139816761017,-8.074880599976,-0.116367968882795,0.44073415563822,-0.435038618282893,0.6301164174385
20,17.960153579712,-6.949436664581,-7.483651161194,-4.58852332307112e-35,8.33582286509883e-35,-1.6671307446068e-34,1.91956500563538e-34
21,17.259672164917,0.7399870753288,-9.493310928345,-2.11042065477508e-35,4.29812998145507e-35,-6.73553352419571e-35,8.26409151287354e-35
22,14.078734397888,-7.869932174683,-7.779078960419,-2.31986727733743e-35,1.50655006543987e-35,-1.30942111492163e-34,1.33831925527655e-34
